"var_ipc_fipe","var_ipca_15","var_ipc_br","ipca_monitor_1","ipca_monitor_11","ipca_monitor_2","ipca_monitor_5","ipca_monitor_6","ipca_monitor_8","ipca_monitor_9","ipca_monitor_0","ipca_focus","MSCI_emerging_log_1_diff","NOAA_Index_1_diff","U.S..Treasury.10.years.nominal.yield_1_diff","BRL_USD_log_1_diff","VIX_log_1_diff","DXY_log_1_diff","Ibovespa_log_1_diff","Brasil_CDS5Y_log_1_diff","crb_metals_log_1_diff","var_ipca_bacen_lag1","var_comercializaveis_bacen_lag1","var_administrados_bacen_lag1","var_bens_nao_duraveis_bacen_lag1","var_nucleo_por_exclusao_ex0_bacen_lag1","var_livres_bacen_lag1","var_nucleo_por_exclusao_ex1_bacen_lag1","var_alimentacao_em_domicilio_bacen_lag1","var_nucleo_ex_alimentacao_energia_exfe_bacen_lag1","var_incc_lag1","caged_saldo_sul_lag1","MSCI_emerging_log_1_diff_lag1","NOAA_Index_1_diff_lag1","U.S..Treasury.10.years.nominal.yield_1_diff_lag1","BRL_USD_log_1_diff_lag1","VIX_log_1_diff_lag1","DXY_log_1_diff_lag1","Ibovespa_log_1_diff_lag1","Brasil_CDS5Y_log_1_diff_lag1","crb_metals_log_1_diff_lag1","consu_energia_brasil_total_log_1_diff_lag1","consu_energia_industr_log_1_diff_lag1","consu_energia_residencia_log_1_diff_lag1","consu_energia_comercial_log_1_diff_lag1","consu_energia_outros_log_1_diff_lag1","base_monetaria_log_1_diff_lag1","consume_confidence_1_diff_lag1","caged_saldo_norte_1_diff_lag1","caged_saldo_nordeste_1_diff_lag1","caged_saldo_sudeste_1_diff_lag1","caged_saldo_sul_1_diff_lag1","caged_saldo_centro_oeste_1_diff_lag1","caged_saldo_brasil_1_diff_lag1","base_monetaria_2_diff_lag1","base_monetaria_log_2_diff_lag1","PNAD_DESOC_2_diff_lag1","var_ipca_bacen_lag2","var_administrados_bacen_lag2","var_bens_nao_duraveis_bacen_lag2","var_nucleo_por_exclusao_ex0_bacen_lag2","var_livres_bacen_lag2","var_nucleo_por_exclusao_ex1_bacen_lag2","var_alimentacao_em_domicilio_bacen_lag2","var_nucleo_ex_alimentacao_energia_exfe_bacen_lag2","var_incc_lag2","MSCI_emerging_log_1_diff_lag2","NOAA_Index_1_diff_lag2","U.S..Treasury.2.years.nominal.yield_1_diff_lag2","U.S..Treasury.10.years.nominal.yield_1_diff_lag2","BRL_USD_log_1_diff_lag2","VIX_log_1_diff_lag2","DXY_log_1_diff_lag2","Ibovespa_log_1_diff_lag2","Brasil_CDS5Y_log_1_diff_lag2","crb_metals_log_1_diff_lag2","consu_energia_brasil_total_log_1_diff_lag2","consu_energia_industr_log_1_diff_lag2","consu_energia_residencia_log_1_diff_lag2","consu_energia_comercial_log_1_diff_lag2","consu_energia_outros_log_1_diff_lag2","ibc_br_sa_log_1_diff_lag2","base_monetaria_log_1_diff_lag2","consume_confidence_1_diff_lag2","caged_saldo_norte_1_diff_lag2","caged_saldo_nordeste_1_diff_lag2","caged_saldo_sudeste_1_diff_lag2","caged_saldo_sul_1_diff_lag2","caged_saldo_centro_oeste_1_diff_lag2","caged_saldo_brasil_1_diff_lag2","base_monetaria_2_diff_lag2","base_monetaria_log_2_diff_lag2","PNAD_DESOC_2_diff_lag2","var_ipca_bacen_lag3","var_administrados_bacen_lag3","var_bens_nao_duraveis_bacen_lag3","var_livres_bacen_lag3","var_nucleo_por_exclusao_ex1_bacen_lag3","var_alimentacao_em_domicilio_bacen_lag3","var_nucleo_ex_alimentacao_energia_exfe_bacen_lag3","var_incc_lag3","MSCI_emerging_log_1_diff_lag3","NOAA_Index_1_diff_lag3","BRL_USD_log_1_diff_lag3","VIX_log_1_diff_lag3","DXY_log_1_diff_lag3","Ibovespa_log_1_diff_lag3","Brasil_CDS5Y_log_1_diff_lag3","crb_metals_log_1_diff_lag3","consu_energia_brasil_total_log_1_diff_lag3","consu_energia_industr_log_1_diff_lag3","consu_energia_residencia_log_1_diff_lag3","consu_energia_comercial_log_1_diff_lag3","consu_energia_outros_log_1_diff_lag3","ibc_br_sa_log_1_diff_lag3","base_monetaria_log_1_diff_lag3","consume_confidence_1_diff_lag3","caged_saldo_norte_1_diff_lag3","caged_saldo_nordeste_1_diff_lag3","caged_saldo_sudeste_1_diff_lag3","caged_saldo_sul_1_diff_lag3","caged_saldo_centro_oeste_1_diff_lag3","caged_saldo_brasil_1_diff_lag3","base_monetaria_2_diff_lag3","base_monetaria_log_2_diff_lag3","PNAD_DESOC_2_diff_lag3","var_ipca_bacen_lag4","var_administrados_bacen_lag4","var_bens_nao_duraveis_bacen_lag4","var_livres_bacen_lag4","var_nucleo_por_exclusao_ex1_bacen_lag4","var_alimentacao_em_domicilio_bacen_lag4","var_nucleo_ex_alimentacao_energia_exfe_bacen_lag4","var_incc_lag4","MSCI_emerging_log_1_diff_lag4","NOAA_Index_1_diff_lag4","BRL_USD_log_1_diff_lag4","VIX_log_1_diff_lag4","DXY_log_1_diff_lag4","Ibovespa_log_1_diff_lag4","Brasil_CDS5Y_log_1_diff_lag4","crb_metals_log_1_diff_lag4","consu_energia_brasil_total_log_1_diff_lag4","consu_energia_industr_log_1_diff_lag4","consu_energia_residencia_log_1_diff_lag4","consu_energia_comercial_log_1_diff_lag4","consu_energia_outros_log_1_diff_lag4","ibc_br_sa_log_1_diff_lag4","base_monetaria_log_1_diff_lag4","consume_confidence_1_diff_lag4","caged_saldo_norte_1_diff_lag4","caged_saldo_nordeste_1_diff_lag4","caged_saldo_sudeste_1_diff_lag4","caged_saldo_sul_1_diff_lag4","caged_saldo_centro_oeste_1_diff_lag4","caged_saldo_brasil_1_diff_lag4","base_monetaria_2_diff_lag4","base_monetaria_log_2_diff_lag4","PNAD_DESOC_2_diff_lag4","var_ipca_bacen","data","dummy"
0.17,-0.05,-0.08,-0.24,-0.61,0.23,-0.09,0.26,0.44,-0.03,0.04,0.16,-0.0196196,-0.3,-0.4369,-0.005710031,-0.040639027,-0.011993469,0.037706266,-0.055542566,0.097599779,0.01,-0.21,0.32,-0.54,0.2,-0.12,0.24,-1.3,0.21,0.44,27586,0.079971348,-0.3,-0.0259,-0.022000244,-0.149832544,-0.040181496,0.012257802,-0.078303104,0.015077887,-0.009409343,0.008070116,-0.026630866,-0.036832423,-0.003889861,0.026324903,-3.39,1950,3310,-32918,3176,-6674,-31156,4322621,0.026324903,-0.188093739,0,0.12,-0.58,0.4,-0.05,0.36,-1.71,0.41,1.09,-0.007364973,-0.5,-0.1644,-0.3537,-0.003708512,-0.064608107,0.013138303,0.01154029,-0.003033198,-0.060494031,-0.003739087,0.010263292,-0.003796381,-0.042974657,-0.002245128,-0.002131648,0.0133802,4.78,-1899,-8462,-65678,-9670,620,-85089,2153832,0.0133802,-0.06229646,0.43,0.33,0.22,0.47,0.56,-0.06,0.55,1.81,-0.092058426,-0.6,0.033145162,0.602711099,0.050200711,-0.10789601,0.136834089,-0.109842855,-0.021032756,0.006945864,-0.049396906,-0.060354276,-0.008121872,-0.007024248,-0.002699685,1.11,2145,24889,46,-19283,-14824,-7027,-432255,-0.002699685,-0.147726033,0.57,0.14,1.05,0.75,0.42,1.92,0.45,0.84,0.012040067,-0.4,-0.016783802,-0.016336062,0.006982262,0.009621151,-0.025511283,0.022692731,-0.002594701,0.010442376,-0.000327815,-0.024976652,-0.018235151,0.004970407,0.010084236,-5.26,1620,32417,-1564,-5105,11285,38653,1608674,0.010084236,0.073527344,0.04,2010-08-01,0
0.53,0.31,0.46,1.08,1.4,0.4,0.13,0.36,0.08,0.04,0.45,0.44,0.105401451,-0.3,0.0415,-0.023526062,-0.099641745,-0.014095615,0.018103697,-0.004195051,0.060394162,0.04,0.12,-0.01,-0.15,0.24,0.06,0.12,-0.61,0.12,0.14,51054,-0.0196196,-0.3,-0.4369,-0.005710031,-0.040639027,-0.011993469,0.037706266,-0.055542566,0.097599779,0.0252048,0.00994839,0.042184702,0.042535686,0.023916827,0.013444139,7.34,4486,28887,58322,23468,2456,117619,2251852,0.013444139,-0.20536693,0.01,0.32,-0.54,0.2,-0.12,0.24,-1.3,0.21,0.44,0.079971348,-0.3,-0.0553,-0.0259,-0.022000244,-0.149832544,-0.040181496,0.012257802,-0.078303104,0.015077887,-0.009409343,0.008070116,-0.026630866,-0.036832423,-0.003889861,0.005796267,0.026324903,-3.39,1950,3310,-32918,3176,-6674,-31156,4322621,0.026324903,-0.188093739,0,0.12,-0.58,-0.05,0.36,-1.71,0.41,1.09,-0.007364973,-0.5,-0.003708512,-0.064608107,0.013138303,0.01154029,-0.003033198,-0.060494031,-0.003739087,0.010263292,-0.003796381,-0.042974657,-0.002245128,-0.002131648,0.0133802,4.78,-1899,-8462,-65678,-9670,620,-85089,2153832,0.0133802,-0.06229646,0.43,0.33,0.22,0.47,0.56,-0.06,0.55,1.81,-0.092058426,-0.6,0.033145162,0.602711099,0.050200711,-0.10789601,0.136834089,-0.109842855,-0.021032756,0.006945864,-0.049396906,-0.060354276,-0.008121872,-0.007024248,-0.002699685,1.11,2145,24889,46,-19283,-14824,-7027,-432255,-0.002699685,-0.147726033,0.45,2010-09-01,0
1.04,0.62,0.59,1.89,2.4,0.48,0.36,0.26,0.02,0.29,0.75,0.65,0.02861765,0,0.0895,-0.019883431,-0.091255632,-0.044613757,0.040839005,-0.167076052,0.049771492,0.45,0.88,0.19,0.9,0.34,0.56,0.37,1.4,0.33,0.21,37881,0.105401451,-0.3,0.0415,-0.023526062,-0.099641745,-0.014095615,0.018103697,-0.004195051,0.060394162,0.013420332,-0.003305145,0.010386185,0.037271395,0.043502157,0.025434075,-1.88,-5196,36335,-62998,-13173,-7508,-52540,4343837,0.025434075,-0.236797742,0.04,-0.01,-0.15,0.24,0.06,0.12,-0.61,0.12,0.14,-0.0196196,-0.3,-0.0767,-0.4369,-0.005710031,-0.040639027,-0.011993469,0.037706266,-0.055542566,0.097599779,0.0252048,0.00994839,0.042184702,0.042535686,0.023916827,0.006271899,0.013444139,7.34,4486,28887,58322,23468,2456,117619,2251852,0.013444139,-0.20536693,0.01,0.32,-0.54,-0.12,0.24,-1.3,0.21,0.44,0.079971348,-0.3,-0.022000244,-0.149832544,-0.040181496,0.012257802,-0.078303104,0.015077887,-0.009409343,0.008070116,-0.026630866,-0.036832423,-0.003889861,0.005796267,0.026324903,-3.39,1950,3310,-32918,3176,-6674,-31156,4322621,0.026324903,-0.188093739,0,0.12,-0.58,-0.05,0.36,-1.71,0.41,1.09,-0.007364973,-0.5,-0.003708512,-0.064608107,0.013138303,0.01154029,-0.003033198,-0.060494031,-0.003739087,0.010263292,-0.003796381,-0.042974657,-0.002245128,-0.002131648,0.0133802,4.78,-1899,-8462,-65678,-9670,620,-85089,2153832,0.0133802,-0.06229646,0.75,2010-10-01,0
0.72,0.86,1,2.22,2.76,0.57,0.13,0.36,0.06,0.42,0.83,0.8,-0.026752756,0,0.1975,0.016545994,-0.022530661,0.0135119,-0.003387907,0.052949304,0.00874818,0.75,1,0.3,1.65,0.55,0.94,0.44,2.4,0.42,0.2,48891,0.02861765,0,0.0895,-0.019883431,-0.091255632,-0.044613757,0.040839005,-0.167076052,0.049771492,0.000198946,0.001880736,0.005264644,0.009673807,-0.024064814,0.022710399,-7.25,-4282,-52606,6365,11010,-2558,-42071,3973145,0.022710399,-0.365489041,0.45,0.19,0.9,0.34,0.56,0.37,1.4,0.33,0.21,0.105401451,-0.3,-0.0472,0.0415,-0.023526062,-0.099641745,-0.014095615,0.018103697,-0.004195051,0.060394162,0.013420332,-0.003305145,0.010386185,0.037271395,0.043502157,0.009262676,0.025434075,-1.88,-5196,36335,-62998,-13173,-7508,-52540,4343837,0.025434075,-0.236797742,0.04,-0.01,-0.15,0.06,0.12,-0.61,0.12,0.14,-0.0196196,-0.3,-0.005710031,-0.040639027,-0.011993469,0.037706266,-0.055542566,0.097599779,0.0252048,0.00994839,0.042184702,0.042535686,0.023916827,0.006271899,0.013444139,7.34,4486,28887,58322,23468,2456,117619,2251852,0.013444139,-0.20536693,0.01,0.32,-0.54,-0.12,0.24,-1.3,0.21,0.44,0.079971348,-0.3,-0.022000244,-0.149832544,-0.040181496,0.012257802,-0.078303104,0.015077887,-0.009409343,0.008070116,-0.026630866,-0.036832423,-0.003889861,0.005796267,0.026324903,-3.39,1950,3310,-32918,3176,-6674,-31156,4322621,0.026324903,-0.188093739,0.83,2010-11-01,0
0.54,0.69,0.72,1.32,1.03,0.49,0.29,0.39,0.05,0.05,0.63,0.62,0.068932399,0,0.4967,-0.011557111,-0.131789802,0.019542906,-0.025947973,0.053659763,0.069152147,0.83,1.53,0.33,1.86,0.57,1.04,0.52,2.76,0.47,0.37,44743,-0.026752756,0,0.1975,0.016545994,-0.022530661,0.0135119,-0.003387907,0.052949304,0.00874818,-0.00315938,-0.007609545,0.001339734,0.020787168,-0.025060977,0.005024061,4.69,-1979,-16119,-40480,-4148,-3831,-66557,891206,0.005024061,-0.341128973,0.75,0.3,1.65,0.55,0.94,0.44,2.4,0.42,0.2,0.02861765,0,-0.0865,0.0895,-0.019883431,-0.091255632,-0.044613757,0.040839005,-0.167076052,0.049771492,0.000198946,0.001880736,0.005264644,0.009673807,-0.024064814,-0.001081042,0.022710399,-7.25,-4282,-52606,6365,11010,-2558,-42071,3973145,0.022710399,-0.365489041,0.45,0.19,0.9,0.56,0.37,1.4,0.33,0.21,0.105401451,-0.3,-0.023526062,-0.099641745,-0.014095615,0.018103697,-0.004195051,0.060394162,0.013420332,-0.003305145,0.010386185,0.037271395,0.043502157,0.009262676,0.025434075,-1.88,-5196,36335,-62998,-13173,-7508,-52540,4343837,0.025434075,-0.236797742,0.04,-0.01,-0.15,0.06,0.12,-0.61,0.12,0.14,-0.0196196,-0.3,-0.005710031,-0.040639027,-0.011993469,0.037706266,-0.055542566,0.097599779,0.0252048,0.00994839,0.042184702,0.042535686,0.023916827,0.006271899,0.013444139,7.34,4486,28887,58322,23468,2456,117619,2251852,0.013444139,-0.20536693,0.63,2010-12-01,0
1.15,0.76,1.27,1.16,1.24,0.61,1.55,0.47,0.3,0.29,0.83,0.78,-0.027513392,0.2,0.0769,-0.010650486,-0.016956133,-0.011465677,0.017138956,-0.021642814,0.058490193,0.63,0.95,0.26,1.16,0.71,0.78,0.6,1.03,0.6,0.67,-75365,0.068932399,0,0.4967,-0.011557111,-0.131789802,0.019542906,-0.025947973,0.053659763,0.069152147,0.024721815,-0.009709451,0.037124438,0.077811522,0.042391759,0.104324709,4.2,-25021,-74913,-280244,-120108,-45471,-545757,19554723,0.104324709,-0.047213518,0.83,0.33,1.86,0.57,1.04,0.52,2.76,0.47,0.37,-0.026752756,0,0.1171,0.1975,0.016545994,-0.022530661,0.0135119,-0.003387907,0.052949304,0.00874818,-0.00315938,-0.007609545,0.001339734,0.020787168,-0.025060977,0.011471304,0.005024061,4.69,-1979,-16119,-40480,-4148,-3831,-66557,891206,0.005024061,-0.341128973,0.75,0.3,1.65,0.94,0.44,2.4,0.42,0.2,0.02861765,0,-0.019883431,-0.091255632,-0.044613757,0.040839005,-0.167076052,0.049771492,0.000198946,0.001880736,0.005264644,0.009673807,-0.024064814,-0.001081042,0.022710399,-7.25,-4282,-52606,6365,11010,-2558,-42071,3973145,0.022710399,-0.365489041,0.45,0.19,0.9,0.56,0.37,1.4,0.33,0.21,0.105401451,-0.3,-0.023526062,-0.099641745,-0.014095615,0.018103697,-0.004195051,0.060394162,0.013420332,-0.003305145,0.010386185,0.037271395,0.043502157,0.009262676,0.025434075,-1.88,-5196,36335,-62998,-13173,-7508,-52540,4343837,0.025434075,-0.236797742,0.83,2011-01-01,0
0.6,0.97,0.49,0.23,-0.15,0.32,0.46,0.31,5.81,0.49,0.8,0.85,-0.00938153,0.2,0.0568,-0.004500977,0.008833907,-0.017559296,-0.047654742,0.068168351,0.053993728,0.83,0.43,0.94,1.07,0.66,0.79,0.76,1.24,0.81,0.41,49075,-0.027513392,0.2,0.0769,-0.010650486,-0.016956133,-0.011465677,0.017138956,-0.021642814,0.058490193,-0.00228317,-0.047383678,0.053172843,-0.008761506,0.031543561,-0.027433311,-3.43,23962,37130,299225,124440,74844,559601,-5341413,-0.027433311,0.16945233,0.63,0.26,1.16,0.71,0.78,0.6,1.03,0.6,0.67,0.068932399,0,0.1406,0.4967,-0.011557111,-0.131789802,0.019542906,-0.025947973,0.053659763,0.069152147,0.024721815,-0.009709451,0.037124438,0.077811522,0.042391759,-0.01175978,0.104324709,4.2,-25021,-74913,-280244,-120108,-45471,-545757,19554723,0.104324709,-0.047213518,0.83,0.33,1.86,1.04,0.52,2.76,0.47,0.37,-0.026752756,0,0.016545994,-0.022530661,0.0135119,-0.003387907,0.052949304,0.00874818,-0.00315938,-0.007609545,0.001339734,0.020787168,-0.025060977,0.011471304,0.005024061,4.69,-1979,-16119,-40480,-4148,-3831,-66557,891206,0.005024061,-0.341128973,0.75,0.3,1.65,0.94,0.44,2.4,0.42,0.2,0.02861765,0,-0.019883431,-0.091255632,-0.044613757,0.040839005,-0.167076052,0.049771492,0.000198946,0.001880736,0.005264644,0.009673807,-0.024064814,-0.001081042,0.022710399,-7.25,-4282,-52606,6365,11010,-2558,-42071,3973145,0.022710399,-0.365489041,0.8,2011-02-01,0
0.35,0.6,0.71,0.75,0.67,0.46,1.56,0.45,1.04,0.17,0.79,0.65,0.057145224,0.3,0.0431,-0.005276467,0.178166591,-0.019775481,0.010440278,-0.019319382,-0.016454516,0.8,-0.02,0.47,0.39,1.23,0.93,0.96,-0.15,1.05,0.28,59095,-0.00938153,0.2,0.0568,-0.004500977,0.008833907,-0.017559296,-0.047654742,0.068168351,0.053993728,-0.0120306,0.001381502,-0.042160811,0.012876738,-0.023468147,-0.043472802,3.38,10547,10040,94428,10020,3673,128708,-8169944,-0.043472802,0.342590056,0.83,0.94,1.07,0.66,0.79,0.76,1.24,0.81,0.41,-0.027513392,0.2,-0.0314,0.0769,-0.010650486,-0.016956133,-0.011465677,0.017138956,-0.021642814,0.058490193,-0.00228317,-0.047383678,0.053172843,-0.008761506,0.031543561,0.012329905,-0.027433311,-3.43,23962,37130,299225,124440,74844,559601,-5341413,-0.027433311,0.16945233,0.63,0.26,1.16,0.78,0.6,1.03,0.6,0.67,0.068932399,0,-0.011557111,-0.131789802,0.019542906,-0.025947973,0.053659763,0.069152147,0.024721815,-0.009709451,0.037124438,0.077811522,0.042391759,-0.01175978,0.104324709,4.2,-25021,-74913,-280244,-120108,-45471,-545757,19554723,0.104324709,-0.047213518,0.83,0.33,1.86,1.04,0.52,2.76,0.47,0.37,-0.026752756,0,0.016545994,-0.022530661,0.0135119,-0.003387907,0.052949304,0.00874818,-0.00315938,-0.007609545,0.001339734,0.020787168,-0.025060977,0.011471304,0.005024061,4.69,-1979,-16119,-40480,-4148,-3831,-66557,891206,0.005024061,-0.341128973,0.79,2011-03-01,0
0.7,0.77,0.95,0.58,0.48,0.77,1.57,0.98,0.09,0,0.77,0.83,0.030540602,0.2,-0.184,-0.045955447,-0.240740677,-0.019756289,0.003124894,-0.068700058,0.02776842,0.79,0.27,1.05,0.84,0.69,0.68,0.7,0.67,0.74,0.43,35734,0.057145224,0.3,0.0431,-0.005276467,0.178166591,-0.019775481,0.010440278,-0.019319382,-0.016454516,0.025239515,0.047253947,0.010892087,0.006612115,0.011235003,-0.017069931,-3.92,-11696,-41078,-90315,-23361,-21674,-188124,-3112129,-0.017069931,0.092637757,0.8,0.47,0.39,1.23,0.93,0.96,-0.15,1.05,0.28,-0.00938153,0.2,0.1182,0.0568,-0.004500977,0.008833907,-0.017559296,-0.047654742,0.068168351,0.053993728,-0.0120306,0.001381502,-0.042160811,0.012876738,-0.023468147,0.003839868,-0.043472802,3.38,10547,10040,94428,10020,3673,128708,-8169944,-0.043472802,0.342590056,0.83,0.94,1.07,0.79,0.76,1.24,0.81,0.41,-0.027513392,0.2,-0.010650486,-0.016956133,-0.011465677,0.017138956,-0.021642814,0.058490193,-0.00228317,-0.047383678,0.053172843,-0.008761506,0.031543561,0.012329905,-0.027433311,-3.43,23962,37130,299225,124440,74844,559601,-5341413,-0.027433311,0.16945233,0.63,0.26,1.16,0.78,0.6,1.03,0.6,0.67,0.068932399,0,-0.011557111,-0.131789802,0.019542906,-0.025947973,0.053659763,0.069152147,0.024721815,-0.009709451,0.037124438,0.077811522,0.042391759,-0.01175978,0.104324709,4.2,-25021,-74913,-280244,-120108,-45471,-545757,19554723,0.104324709,-0.047213518,0.77,2011-04-01,0
0.31,0.7,0.51,0.63,0.47,0.97,-0.24,0.73,0.01,0.15,0.47,0.48,-0.026579491,0.1,-0.2256,0.018467536,0.032736973,0.002407335,-0.056342458,-0.036443298,-0.063367217,0.77,0.6,1.29,0.69,0.58,0.56,0.52,0.48,0.48,1.06,46585,0.030540602,0.2,-0.184,-0.045955447,-0.240740677,-0.019756289,0.003124894,-0.068700058,0.02776842,-0.00837033,0.009632155,-0.028916392,-0.011838194,-0.019503486,-0.004653612,-0.85,6820,36344,114849,10851,10686,179550,-839255,-0.004653612,-0.038539297,0.79,1.05,0.84,0.69,0.68,0.7,0.67,0.74,0.43,0.057145224,0.3,0.1409,0.0431,-0.005276467,0.178166591,-0.019775481,0.010440278,-0.019319382,-0.016454516,0.025239515,0.047253947,0.010892087,0.006612115,0.011235003,0.000993119,-0.017069931,-3.92,-11696,-41078,-90315,-23361,-21674,-188124,-3112129,-0.017069931,0.092637757,0.8,0.47,0.39,0.93,0.96,-0.15,1.05,0.28,-0.00938153,0.2,-0.004500977,0.008833907,-0.017559296,-0.047654742,0.068168351,0.053993728,-0.0120306,0.001381502,-0.042160811,0.012876738,-0.023468147,0.003839868,-0.043472802,3.38,10547,10040,94428,10020,3673,128708,-8169944,-0.043472802,0.342590056,0.83,0.94,1.07,0.79,0.76,1.24,0.81,0.41,-0.027513392,0.2,-0.010650486,-0.016956133,-0.011465677,0.017138956,-0.021642814,0.058490193,-0.00228317,-0.047383678,0.053172843,-0.008761506,0.031543561,0.012329905,-0.027433311,-3.43,23962,37130,299225,124440,74844,559601,-5341413,-0.027433311,0.16945233,0.47,2011-05-01,0
