data,ipca_monitor_0,var_ipc_fipe,ipca_monitor_11,ipca_focus,ipca_monitor_1,consu_energia_residencia_log_1_diff_lag2,var_ipc_br,var_ipca_15,ipca_monitor_5,BRL_USD_log_1_diff_lag4,var_livres_bacen_lag1,consu_energia_comercial_log_1_diff_lag1,U_S__Treasury_10_years_nominal_yield_1_diff,consu_energia_outros_log_1_diff_lag4,caged_saldo_nordeste_1_diff_lag1,PNAD_DESOC_2_diff_lag1,consume_confidence_1_diff_lag3,U_S__Treasury_10_years_nominal_yield_1_diff_lag2,consu_energia_brasil_total_log_1_diff_lag1,consu_energia_brasil_total_log_1_diff_lag3,BRL_USD_log_1_diff_lag3,PNAD_DESOC_2_diff_lag3,DXY_log_1_diff_lag4,NOAA_Index_1_diff,BRL_USD_log_1_diff,consu_energia_outros_log_1_diff_lag3,PNAD_DESOC_2_diff_lag4,caged_saldo_nordeste_1_diff_lag3,caged_saldo_nordeste_1_diff_lag2,var_livres_bacen_lag4,var_ipca_bacen
2010-08-01,0.04,0.17,-0.61,0.16,-0.24,-0.003796381,-0.08,-0.05,-0.09,-0.016783802,-0.12,-0.036832423,-0.4369,-0.018235151,3310,-0.188093739,1.11,-0.3537,-0.009409343,-0.021032756,0.033145162,-0.147726033,0.006982262,-0.3,-0.005710031,-0.008121872,0.073527344,24889,-8462,0.75,0.04
2010-09-01,0.45,0.53,1.4,0.44,1.08,-0.026630866,0.46,0.31,0.13,0.033145162,0.06,0.042535686,0.0415,-0.008121872,28887,-0.20536693,4.78,-0.0259,0.0252048,-0.003739087,-0.003708512,-0.06229646,0.050200711,-0.3,-0.023526062,-0.002245128,-0.147726033,-8462,3310,0.47,0.45
2010-10-01,0.75,1.04,2.4,0.65,1.89,0.042184702,0.59,0.62,0.36,-0.003708512,0.56,0.037271395,0.0895,-0.002245128,36335,-0.236797742,-3.39,-0.4369,0.013420332,-0.009409343,-0.022000244,-0.188093739,0.013138303,0.0,-0.019883431,-0.003889861,-0.06229646,3310,28887,-0.05,0.75
2010-11-01,0.83,0.72,2.76,0.8,2.22,0.010386185,1.0,0.86,0.13,-0.022000244,0.94,0.009673807,0.1975,-0.003889861,-52606,-0.365489041,7.34,0.0415,0.000198946,0.0252048,-0.005710031,-0.20536693,-0.040181496,0.0,0.016545994,0.023916827,-0.188093739,28887,36335,-0.12,0.83
2010-12-01,0.63,0.54,1.03,0.62,1.32,0.005264644,0.72,0.69,0.29,-0.005710031,1.04,0.020787168,0.4967,0.023916827,-16119,-0.341128973,-1.88,0.0895,-0.00315938,0.013420332,-0.023526062,-0.236797742,-0.011993469,0.0,-0.011557111,0.043502157,-0.20536693,36335,-52606,0.06,0.63
2011-01-01,0.83,1.15,1.24,0.78,1.16,0.001339734,1.27,0.76,1.55,-0.023526062,0.78,0.077811522,0.0769,0.043502157,-74913,-0.047213518,-7.25,0.1975,0.024721815,0.000198946,-0.019883431,-0.365489041,-0.014095615,0.2,-0.010650486,-0.024064814,-0.236797742,-52606,-16119,0.56,0.83
2011-02-01,0.8,0.6,-0.15,0.85,0.23,0.037124438,0.49,0.97,0.46,-0.019883431,0.79,-0.008761506,0.0568,-0.024064814,37130,0.16945233,4.69,0.4967,-0.00228317,-0.00315938,0.016545994,-0.341128973,-0.044613757,0.2,-0.004500977,-0.025060977,-0.365489041,-16119,-74913,0.94,0.8
2011-03-01,0.79,0.35,0.67,0.65,0.75,0.053172843,0.71,0.6,1.56,0.016545994,0.93,0.012876738,0.0431,-0.025060977,10040,0.342590056,4.2,0.0769,-0.0120306,0.024721815,-0.011557111,-0.047213518,0.0135119,0.3,-0.005276467,0.042391759,-0.341128973,-74913,37130,1.04,0.79
2011-04-01,0.77,0.7,0.48,0.83,0.58,-0.042160811,0.95,0.77,1.57,-0.011557111,0.68,0.006612115,-0.184,0.042391759,-41078,0.092637757,-3.43,0.0568,0.025239515,-0.00228317,-0.010650486,0.16945233,0.019542906,0.2,-0.045955447,0.031543561,-0.047213518,37130,10040,0.78,0.77
2011-05-01,0.47,0.31,0.47,0.48,0.63,0.010892087,0.51,0.7,-0.24,-0.010650486,0.56,-0.011838194,-0.2256,0.031543561,36344,-0.038539297,3.38,0.0431,-0.00837033,-0.0120306,-0.004500977,0.342590056,-0.011465677,0.1,0.018467536,-0.023468147,0.16945233,10040,-41078,0.79,0.47
