,Feature,Frequency
0,ipca_monitor_0,108
1,ipca_focus,93
2,BRL_USD_log_1_diff,58
3,consu_energia_outros_log_1_diff_lag4,57
4,PNAD_DESOC_2_diff_lag1,57
5,PNAD_DESOC_2_diff_lag4,56
6,var_ipc_br,55
7,consume_confidence_1_diff_lag3,55
8,ipca_monitor_1,51
9,caged_saldo_nordeste_1_diff_lag2,51
10,consu_energia_brasil_total_log_1_diff_lag3,51
11,consu_energia_outros_log_1_diff_lag3,50
12,U_S__Treasury_10_years_nominal_yield_1_diff,48
13,var_ipc_fipe,48
14,BRL_USD_log_1_diff_lag4,47
15,ipca_monitor_11,47
16,U_S__Treasury_10_years_nominal_yield_1_diff_lag2,47
17,caged_saldo_nordeste_1_diff_lag3,46
18,ipca_monitor_5,46
19,BRL_USD_log_1_diff_lag3,45
20,var_livres_bacen_lag4,45
21,NOAA_Index_1_diff,43
22,consu_energia_residencia_log_1_diff_lag2,43
23,consu_energia_brasil_total_log_1_diff_lag1,43
24,var_livres_bacen_lag1,43
25,DXY_log_1_diff_lag4,42
26,var_ipca_15,42
27,PNAD_DESOC_2_diff_lag3,41
28,caged_saldo_nordeste_1_diff_lag1,41
29,consu_energia_comercial_log_1_diff_lag1,41
