,lags,params,mean_squared_error,max_depth,n_estimators
21,[1 2],"{'max_depth': 5, 'n_estimators': 100}",0.009445980615982749,5,100
253,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 15, 'n_estimators': 100}",0.009490810000000002,15,100
249,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 10, 'n_estimators': 100}",0.009490810000000002,10,100
79,[1 2 3 4 5],"{'max_depth': 15, 'n_estimators': 200}",0.009505866702898547,15,200
75,[1 2 3 4 5],"{'max_depth': 10, 'n_estimators': 200}",0.009505866702898547,10,200
254,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 15, 'n_estimators': 150}",0.009524226086956519,15,150
250,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 10, 'n_estimators': 150}",0.009524226086956519,10,150
29,[1 2],"{'max_depth': 15, 'n_estimators': 100}",0.009525454057971018,15,100
25,[1 2],"{'max_depth': 10, 'n_estimators': 100}",0.009525454057971018,10,100
71,[1 2 3 4 5],"{'max_depth': 5, 'n_estimators': 200}",0.009543563449043538,5,200
150,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 5, 'n_estimators': 150}",0.009546056839181617,5,150
155,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 10, 'n_estimators': 200}",0.009548280326086955,10,200
246,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 5, 'n_estimators': 150}",0.009553974896077226,5,150
159,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 15, 'n_estimators': 200}",0.00956744293478261,15,200
151,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 5, 'n_estimators': 200}",0.009579743967852352,5,200
245,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 5, 'n_estimators': 100}",0.009596736582504156,5,100
89,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 100}",0.009605780434782612,10,100
93,[1 2 3 4 5 6],"{'max_depth': 15, 'n_estimators': 100}",0.009605780434782612,15,100
158,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 15, 'n_estimators': 150}",0.009621189500805158,15,150
154,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 10, 'n_estimators': 150}",0.009621189500805158,10,150
149,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 5, 'n_estimators': 100}",0.009623534355688478,5,100
92,[1 2 3 4 5 6],"{'max_depth': 15, 'n_estimators': 50}",0.009632455652173907,15,50
88,[1 2 3 4 5 6],"{'max_depth': 10, 'n_estimators': 50}",0.009632455652173907,10,50
152,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 10, 'n_estimators': 50}",0.009634627246376808,10,50
156,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 15, 'n_estimators': 50}",0.009634627246376808,15,50
255,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 15, 'n_estimators': 200}",0.009649437862318843,15,200
251,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 10, 'n_estimators': 200}",0.009649778840579713,10,200
72,[1 2 3 4 5],"{'max_depth': 10, 'n_estimators': 50}",0.009659515362318837,10,50
76,[1 2 3 4 5],"{'max_depth': 15, 'n_estimators': 50}",0.009659515362318837,15,50
148,[ 1  2  3  4  5  6  7  8  9 10],"{'max_depth': 5, 'n_estimators': 50}",0.009686453062739325,5,50
